year,month,day,dayofyear,weekofyear,dayofweek,quarter,battery,damage,narcotics,theft,other,Latitude,Longitude
2013.0,4.0,3.0,93.0,14.0,2.0,2.0,0,0,0,0,1,41.782696799,-87.65457875799999
2007.0,3.0,4.0,63.0,9.0,6.0,1.0,0,0,0,1,0,41.914383124000004,-87.653236704
2008.0,11.0,23.0,328.0,47.0,6.0,4.0,0,1,0,0,0,41.814926388,-87.69195670200001
2010.0,9.0,16.0,259.0,37.0,3.0,3.0,1,0,0,0,0,41.780226662,-87.596195666
2004.0,2.0,18.0,49.0,8.0,2.0,1.0,1,0,0,0,0,41.831766785999996,-87.64711089299999
2002.0,10.0,14.0,287.0,42.0,0.0,4.0,0,0,1,0,0,41.778459234,-87.66906860799999
2011.0,6.0,10.0,161.0,23.0,4.0,2.0,0,1,0,0,0,41.892416772,-87.68184947600002
2006.0,7.0,16.0,197.0,28.0,6.0,3.0,0,0,0,0,1,41.845762946,-87.71482566799999
2003.0,3.0,3.0,62.0,10.0,0.0,1.0,1,0,0,0,0,41.763627901,-87.59942433399998
2015.0,9.0,20.0,263.0,38.0,6.0,3.0,0,0,1,0,0,41.876780419,-87.745488187
2004.0,8.0,3.0,216.0,32.0,1.0,3.0,1,0,0,0,0,41.976851851999996,-87.654999693
2005.0,6.0,14.0,165.0,24.0,1.0,2.0,1,0,0,0,0,41.735798691,-87.66239683299999
2017.0,6.0,10.0,161.0,23.0,5.0,2.0,0,0,0,1,0,41.878260207,-87.625448401
2014.0,9.0,27.0,270.0,39.0,5.0,3.0,0,1,0,0,0,41.70808779,-87.64772827700001
2008.0,12.0,27.0,362.0,52.0,5.0,4.0,0,0,0,1,0,41.909168175,-87.64708709
2012.0,8.0,11.0,224.0,32.0,5.0,3.0,0,1,0,0,0,41.88534455,-87.70997474200001
2005.0,5.0,7.0,127.0,18.0,5.0,2.0,0,0,1,0,0,41.862366128000005,-87.665880736
2017.0,6.0,3.0,154.0,22.0,5.0,2.0,0,0,0,1,0,41.862528952,-87.70395555
2017.0,1.0,9.0,9.0,2.0,0.0,1.0,1,0,0,0,0,41.7932749,-87.654852214
2003.0,1.0,26.0,26.0,4.0,6.0,1.0,0,0,1,0,0,41.894181382,-87.706513426
2013.0,7.0,12.0,193.0,28.0,4.0,3.0,0,0,1,0,0,41.777501903,-87.63625473200001
2007.0,6.0,16.0,167.0,24.0,5.0,2.0,1,0,0,0,0,41.86703917,-87.624144053
2009.0,10.0,3.0,276.0,40.0,5.0,4.0,0,0,1,0,0,41.776855857,-87.68479479999998
2003.0,7.0,22.0,203.0,30.0,1.0,3.0,0,0,0,1,0,41.895734028,-87.687586026
2017.0,1.0,4.0,4.0,1.0,2.0,1.0,0,0,0,1,0,41.774167116,-87.60824565799999
2017.0,12.0,22.0,356.0,51.0,4.0,4.0,0,0,0,0,1,41.947538136,-87.65917398
