day,dayofweek,dayofyear,hour,month,quarter,week,weekday,weekofyear,year,battery,damage,narcotics,theft,other,burglary,Latitude,Longitude
0.0,5.0,26.0,0,6.0,2.0,26,5,26.0,2018.0,0,0,0,1,0,0.0,41.892164276,-87.60770229399998
0.0,1.0,28.0,0,7.0,3.0,28,1,28.0,2018.0,0,1,0,0,0,0.0,41.679144468000004,-87.631101453
0.0,1.0,9.0,0,2.0,1.0,9,1,9.0,2018.0,0,0,0,0,1,0.0,41.788200237,-87.763348971
0.0,1.0,13.0,0,3.0,1.0,13,1,13.0,2018.0,1,0,0,0,0,0.0,41.730443765,-87.65478840600002
0.0,5.0,8.0,0,2.0,1.0,8,5,8.0,2018.0,0,0,0,1,0,0.0,41.740920986999996,-87.654692772
0.0,4.0,23.0,0,6.0,2.0,23,4,23.0,2018.0,0,0,0,1,0,0.0,41.918953545,-87.639688741
0.0,0.0,12.0,0,3.0,1.0,12,0,12.0,2018.0,0,0,1,0,0,0.0,41.895130499000004,-87.73895471
0.0,3.0,49.0,0,12.0,4.0,49,3,49.0,2018.0,0,0,0,0,1,0.0,41.796289885,-87.719570325
0.0,5.0,9.0,0,3.0,1.0,9,5,9.0,2018.0,0,0,1,0,0,0.0,41.939881244,-87.768976331
0.0,0.0,2.0,0,1.0,1.0,2,0,2.0,2018.0,0,0,0,1,0,0.0,41.796140017,-87.601228222
0.0,3.0,12.0,0,3.0,1.0,12,3,12.0,2018.0,0,0,0,0,1,0.0,41.909920109,-87.723427962
0.0,6.0,45.0,0,11.0,4.0,45,6,45.0,2018.0,1,0,0,0,0,0.0,41.750154295,-87.661008708
0.0,5.0,8.0,0,2.0,1.0,8,5,8.0,2018.0,0,0,0,0,0,1.0,41.722392879000004,-87.581314566
0.0,3.0,41.0,0,10.0,4.0,41,3,41.0,2018.0,1,0,0,0,0,0.0,41.705956704,-87.648399121
0.0,5.0,50.0,0,12.0,4.0,50,5,50.0,2018.0,1,0,0,0,0,0.0,41.903417753,-87.69442934700001
0.0,5.0,18.0,0,5.0,2.0,18,5,18.0,2018.0,0,0,0,1,0,0.0,41.94586401,-87.767934761
0.0,5.0,36.0,0,9.0,3.0,36,5,36.0,2018.0,1,0,0,0,0,0.0,41.707455730999996,-87.60563749100002
0.0,0.0,27.0,0,7.0,3.0,27,0,27.0,2018.0,0,0,0,1,0,0.0,41.96388158,-87.71200054
0.0,0.0,31.0,0,7.0,3.0,31,0,31.0,2018.0,0,1,0,0,0,0.0,41.806697756,-87.673798332
0.0,1.0,15.0,0,4.0,2.0,15,1,15.0,2018.0,0,1,0,0,0,0.0,41.887620806,-87.61880064299999
0.0,5.0,46.0,0,11.0,4.0,46,5,46.0,2018.0,0,1,0,0,0,0.0,41.897672589,-87.775232425
0.0,2.0,19.0,0,5.0,2.0,19,2,19.0,2018.0,1,0,0,0,0,0.0,41.977464942,-87.837700585
0.0,2.0,35.0,0,8.0,3.0,35,2,35.0,2018.0,0,1,0,0,0,0.0,41.801766199,-87.727080697
0.0,2.0,40.0,0,10.0,4.0,40,2,40.0,2018.0,1,0,0,0,0,0.0,41.858735331999995,-87.70326224600002
0.0,1.0,35.0,0,8.0,3.0,35,1,35.0,2018.0,0,0,0,1,0,0.0,41.786499587,-87.64981588399998
0.0,5.0,51.0,0,12.0,4.0,51,5,51.0,2018.0,0,0,0,1,0,0.0,41.885470744,-87.69993684299999
0.0,2.0,40.0,0,10.0,4.0,40,2,40.0,2018.0,0,0,0,1,0,0.0,41.910534535,-87.674211066
0.0,4.0,42.0,0,10.0,4.0,42,4,42.0,2018.0,1,0,0,0,0,0.0,41.754592961,-87.74152853700001
0.0,6.0,20.0,0,5.0,2.0,20,6,20.0,2018.0,0,0,0,0,0,1.0,41.677306326,-87.62984757
0.0,4.0,21.0,0,5.0,2.0,21,4,21.0,2018.0,0,0,0,1,0,0.0,41.862953459,-87.706308241
0.0,4.0,36.0,0,9.0,3.0,36,4,36.0,2018.0,0,1,0,0,0,0.0,41.895492465,-87.64231173399997
0.0,3.0,35.0,0,8.0,3.0,35,3,35.0,2018.0,1,0,0,0,0,0.0,41.773381930999996,-87.582141655
0.0,2.0,20.0,0,5.0,2.0,20,2,20.0,2018.0,0,0,0,1,0,0.0,41.743970443,-87.58579712299999
0.0,6.0,2.0,0,1.0,1.0,2,6,2.0,2018.0,0,0,0,1,0,0.0,41.721590004,-87.63363954100002
0.0,0.0,26.0,0,6.0,2.0,26,0,26.0,2018.0,0,0,0,1,0,0.0,41.879190136,-87.648928151
0.0,6.0,9.0,0,3.0,1.0,9,6,9.0,2018.0,0,0,0,1,0,0.0,41.739265865,-87.604893749
0.0,4.0,25.0,0,6.0,2.0,25,4,25.0,2018.0,1,0,0,0,0,0.0,41.780779629,-87.704436608
0.0,4.0,43.0,0,10.0,4.0,43,4,43.0,2018.0,0,0,0,0,1,0.0,41.749504509,-87.636696965
0.0,5.0,30.0,0,7.0,3.0,30,5,30.0,2018.0,0,0,0,0,1,0.0,41.788987036,-87.74147999
0.0,5.0,24.0,0,6.0,2.0,24,5,24.0,2018.0,0,1,0,0,0,0.0,41.889431932,-87.647595853
0.0,2.0,25.0,0,6.0,2.0,25,2,25.0,2018.0,1,0,0,0,0,0.0,41.993267324,-87.689738906
0.0,0.0,8.0,0,2.0,1.0,8,0,8.0,2018.0,1,0,0,0,0,0.0,42.002066067,-87.699760404
0.0,5.0,45.0,0,11.0,4.0,45,5,45.0,2018.0,1,0,0,0,0,0.0,41.863996958,-87.716569985
0.0,1.0,8.0,0,2.0,1.0,8,1,8.0,2018.0,0,0,1,0,0,0.0,41.890781464,-87.716176501
0.0,5.0,14.0,0,4.0,2.0,14,5,14.0,2018.0,0,0,1,0,0,0.0,41.764763046,-87.67777252399998
0.0,3.0,21.0,0,5.0,2.0,21,3,21.0,2018.0,0,0,0,0,1,0.0,41.78167259,-87.61083395799999
0.0,5.0,7.0,0,2.0,1.0,7,5,7.0,2018.0,1,0,0,0,0,0.0,41.887532844,-87.705146141
0.0,6.0,41.0,0,10.0,4.0,41,6,41.0,2018.0,0,1,0,0,0,0.0,41.740020153,-87.56727699700001
0.0,3.0,25.0,0,6.0,2.0,25,3,25.0,2018.0,0,0,0,0,1,0.0,41.963653562,-87.65105469299999
0.0,5.0,26.0,0,6.0,2.0,26,5,26.0,2018.0,0,0,0,1,0,0.0,41.797330093,-87.64045539799999
0.0,1.0,31.0,0,7.0,3.0,31,1,31.0,2018.0,0,0,0,0,0,1.0,41.877618436,-87.68064117799999
0.0,3.0,27.0,0,7.0,3.0,27,3,27.0,2018.0,1,0,0,0,0,0.0,41.880681368000005,-87.729357492
0.0,4.0,24.0,0,6.0,2.0,24,4,24.0,2018.0,0,0,0,0,0,1.0,41.682739181,-87.646939449
0.0,2.0,17.0,0,4.0,2.0,17,2,17.0,2018.0,0,0,0,1,0,0.0,41.930966504000004,-87.78739692
0.0,6.0,48.0,0,12.0,4.0,48,6,48.0,2018.0,0,0,0,1,0,0.0,41.78707194,-87.70337041799999
0.0,3.0,25.0,0,6.0,2.0,25,3,25.0,2018.0,0,0,0,1,0,0.0,41.894860447,-87.76419400200001
0.0,5.0,20.0,0,5.0,2.0,20,5,20.0,2018.0,0,0,1,0,0,0.0,41.876862242,-87.743783671
0.0,4.0,46.0,0,11.0,4.0,46,4,46.0,2018.0,0,0,0,1,0,0.0,41.872510837,-87.662918655
0.0,3.0,27.0,0,7.0,3.0,27,3,27.0,2018.0,1,0,0,0,0,0.0,41.760335969,-87.609566934
0.0,6.0,23.0,0,6.0,2.0,23,6,23.0,2018.0,0,0,0,0,0,1.0,41.897283768,-87.670119631
0.0,0.0,31.0,0,7.0,3.0,31,0,31.0,2018.0,0,0,0,1,0,0.0,41.786144706,-87.70997227
0.0,5.0,44.0,0,11.0,4.0,44,5,44.0,2018.0,0,0,0,0,0,1.0,41.935102797,-87.752862055
0.0,4.0,18.0,0,5.0,2.0,18,4,18.0,2018.0,0,1,0,0,0,0.0,41.88456033,-87.735909158
0.0,2.0,50.0,0,12.0,4.0,50,2,50.0,2018.0,0,1,0,0,0,0.0,41.784740334,-87.622210098
0.0,0.0,35.0,0,8.0,3.0,35,0,35.0,2018.0,0,0,0,1,0,0.0,41.764507679,-87.69480133799999
0.0,4.0,44.0,0,11.0,4.0,44,4,44.0,2018.0,1,0,0,0,0,0.0,41.928822325,-87.687781609
0.0,0.0,12.0,0,3.0,1.0,12,0,12.0,2018.0,0,1,0,0,0,0.0,41.711714647,-87.642954141
0.0,2.0,36.0,0,9.0,3.0,36,2,36.0,2018.0,1,0,0,0,0,0.0,41.887748749000004,-87.72901548700001
0.0,1.0,18.0,0,5.0,2.0,18,1,18.0,2018.0,0,0,0,1,0,0.0,41.927849321,-87.639978236
0.0,5.0,22.0,0,6.0,2.0,22,5,22.0,2018.0,1,0,0,0,0,0.0,41.742710224,-87.63408818100002
0.0,0.0,20.0,0,5.0,2.0,20,0,20.0,2018.0,1,0,0,0,0,0.0,41.869152172,-87.70419898899998
0.0,6.0,41.0,0,10.0,4.0,41,6,41.0,2018.0,1,0,0,0,0,0.0,41.916614163,-87.693335103
0.0,2.0,45.0,0,11.0,4.0,45,2,45.0,2018.0,0,0,1,0,0,0.0,41.863721376,-87.725100732
0.0,3.0,40.0,0,10.0,4.0,40,3,40.0,2018.0,0,0,0,1,0,0.0,41.930896786999995,-87.697587655
0.0,6.0,24.0,0,6.0,2.0,24,6,24.0,2018.0,0,1,0,0,0,0.0,41.700542408000004,-87.64936471899998
0.0,2.0,27.0,0,7.0,3.0,27,2,27.0,2018.0,1,0,0,0,0,0.0,41.953897044,-87.644019342
0.0,6.0,9.0,0,3.0,1.0,9,6,9.0,2018.0,0,1,0,0,0,0.0,41.762403378,-87.58740489600002
0.0,4.0,13.0,0,3.0,1.0,13,4,13.0,2018.0,0,1,0,0,0,0.0,41.922344313,-87.648650891
0.0,5.0,23.0,0,6.0,2.0,23,5,23.0,2018.0,0,0,0,0,1,0.0,41.99973071,-87.66068355899998
0.0,3.0,33.0,0,8.0,3.0,33,3,33.0,2018.0,0,1,0,0,0,0.0,41.935480354,-87.722489864
0.0,4.0,20.0,0,5.0,2.0,20,4,20.0,2018.0,0,0,1,0,0,0.0,41.996588393,-87.68984523799999
0.0,5.0,48.0,0,12.0,4.0,48,5,48.0,2018.0,0,1,0,0,0,0.0,41.793155166999995,-87.72874604799999
0.0,2.0,8.0,0,2.0,1.0,8,2,8.0,2018.0,0,0,0,1,0,0.0,41.955605349,-87.71817277299999
0.0,3.0,50.0,0,12.0,4.0,50,3,50.0,2018.0,1,0,0,0,0,0.0,41.843154591,-87.73425398200001
0.0,3.0,41.0,0,10.0,4.0,41,3,41.0,2018.0,0,0,1,0,0,0.0,41.880383652,-87.754136039
0.0,0.0,47.0,0,11.0,4.0,47,0,47.0,2018.0,0,0,1,0,0,0.0,41.866202226,-87.72303964700001
0.0,6.0,29.0,0,7.0,3.0,29,6,29.0,2018.0,0,0,0,1,0,0.0,42.016367487,-87.665174406
0.0,5.0,9.0,0,3.0,1.0,9,5,9.0,2018.0,0,0,0,1,0,0.0,41.727731784,-87.664045046
0.0,2.0,23.0,0,6.0,2.0,23,2,23.0,2018.0,0,0,0,0,1,0.0,41.739889365,-87.578197516
